Screen,Section/Panel,Element Type,Element Label/Name,Notes,Logic,Input Data,Output Data
Dashboard,Open Tasks,Button,Mine,Filters tasks,Set task filter to Mine,?taskFilter URL param,Sets ?taskFilter=Mine
Dashboard,Open Tasks,Button,Overdue,Filters tasks with count badge,Set task filter to Overdue; show count,?taskFilter URL param + tasks query,Sets ?taskFilter=Overdue
Dashboard,Open Tasks,Task Row,[Task Title],Task list item,Render task row; navigate on click,task object from GET /api/tasks,Route: /submissions/{subId}?tab=tasks
Dashboard,Open Tasks,Stat,[Priority Level],Priority indicator chip,Render priority chip,task.priority,-
Dashboard,Open Tasks,Text,[Submission ID],Submission reference,Render submission link,task.submissionId,Route: /submissions/{subId}
Dashboard,Open Tasks,Text,[Due Date],Due date with status icon,Render due date with overdue indicator,task.dueDate + now(),-
Dashboard,Open Tasks,Footer,[Count] total tasks,Summary line,Render total count,tasks.length,-
Dashboard,Open Tasks,Link,View all,Navigate to tasks page,Navigate with current filter context,?taskFilter URL param,Route: /tasks?filter=<current>
Dashboard,Alerts & Flags,Section Header,Alerts & Flags,Card title,Render card title,Static text,-
Dashboard,Alerts & Flags,Button,All,Filters alerts,Set alert filter to All,?alertFilter URL param,Sets ?alertFilter=All
Dashboard,Alerts & Flags,Button,Critical,Filters alerts,Set alert filter to Critical,?alertFilter URL param,Sets ?alertFilter=Critical
Dashboard,Alerts & Flags,Button,Warning,Filters alerts,Set alert filter to Warning,?alertFilter URL param,Sets ?alertFilter=Warning
Dashboard,Alerts & Flags,Alert Row,[Alert Title],Alert list item,Render alert row; navigate on click,alert object from GET /api/alerts,Route: /submissions/{subId}
Dashboard,Alerts & Flags,Text,[Time Ago],Alert timestamp,Format alert timestamp relative,alert.createdAt + now(),-
Dashboard,Alerts & Flags,Text,[Alert Body],Alert description,Render alert text,alert.body,-
Dashboard,Alerts & Flags,Text,[Submission ID],Linked submission,Render linked submission ID,alert.submissionId,Route: /submissions/{subId}
Dashboard,Alerts & Flags,Footer,X critical / Y warnings,Summary,Aggregate counts by severity,alerts grouped by severity,-
Dashboard,Alerts & Flags,Link,View all,Navigate to alerts,Navigate to full alerts view,User click,Route: /alerts
Dashboard,Correspondence,Section Header,Correspondence,Card title,Render card title,Static text,-
Dashboard,Correspondence,Text,[Count] unread / [Count] awaiting reply,Status summary,Aggregate unread + awaiting counts,GET /api/correspondence?summary=true,-
Dashboard,Correspondence,Avatar,[Initials],Sender avatar,Render sender initials,thread.lastSender.initials,-
Dashboard,Correspondence,Text,[Sender Name] - [Organization],Sender info,Render sender + org,thread.lastSender,-
Dashboard,Correspondence,Icon,Unread Indicator,Blue dot for unread,Render unread state dot,thread.isUnread,-
Dashboard,Correspondence,Stat,Overdue reply,Overdue status chip,Render overdue chip when reply SLA breached,thread.lastInboundAt + replySLA,-
Dashboard,Correspondence,Stat,Awaiting reply,Awaiting reply chip,Render awaiting chip,thread.awaitingReply,-
Dashboard,Correspondence,Text,[Subject Line],Email subject,Render subject,thread.subject,-
Dashboard,Correspondence,Text,[Message Preview],Message preview text,Render truncated last message,thread.lastMessage.body,-
Dashboard,Correspondence,Text,[Submission ID] - [Time] - [Channel],Metadata,Render thread metadata,thread.submissionId / channel / time,-
Dashboard,Correspondence,Footer,[Count] threads - [Count] overdue,Summary,Aggregate thread counts,threads grouped by status,-
Dashboard,Correspondence,Link,Open inbox,Navigate to inbox,Navigate to inbox,User click,Route: /inbox
Dashboard,Submissions Table,Section Header,Submissions,Card title,Render card title,Static text,-
Dashboard,Submissions Table,Stat,[Count],Submission count badge,Render result count,filtered submissions length,-
Dashboard,Submissions Toolbar,Tab,Mine,Filters submissions,Filter submissions to user's,?scope URL param,Sets ?scope=mine
Dashboard,Submissions Toolbar,Tab,Team,Filters submissions (team leads),Filter submissions to team,?scope URL param + user.role,Sets ?scope=team
Dashboard,Submissions Toolbar,Tab,All,Filters submissions (director only),Filter to all submissions; director-only,?scope URL param + user.role,Sets ?scope=all
Dashboard,Submissions Toolbar,Dropdown,Status Filter,Status filter dropdown,Filter submissions by status,?status URL param,Sets ?status=<value>
Dashboard,Submissions Table - Header,Column,ID,Sortable column,Render column header; sort on click,submission.id,Sets ?sort=id&dir=<asc/desc>
Dashboard,Submissions Table - Header,Column,Member,Sortable column,Render column header; sort on click,submission.member.name,Sets ?sort=member
Dashboard,Submissions Table - Header,Column,Type,Sortable column,Render column header; sort on click,submission.type,Sets ?sort=type
Dashboard,Submissions Table - Header,Column,Assignee,Sortable column,Render column header; sort on click,submission.assignee,Sets ?sort=assignee
Dashboard,Submissions Table - Header,Column,Premium,Sortable column,Render column header; sort on click,submission.premium,Sets ?sort=premium
Dashboard,Submissions Table - Header,Column,Status,Sortable column,Render column header; sort on click,submission.status,Sets ?sort=status
Dashboard,Submissions Table - Header,Column,Priority,Sortable column,Render column header; sort on click,submission.priority,Sets ?sort=priority
Dashboard,Submissions Table - Header,Column,Effective,Sortable column,Render column header; sort on click,submission.effectiveDate,Sets ?sort=effective
Dashboard,Submissions Table - Row,Text,[Submission ID],Monospaced ID reference,Render submission ID,submission.id,Route: /submissions/{id}
Dashboard,Submissions Table - Row,Text,[Member Name],Member organization,Render member name,submission.member.name,-
Dashboard,Submissions Table - Row,Icon,MapPin,Location icon,Render location icon,Static asset,-
Dashboard,Submissions Table - Row,Text,[State],State abbreviation,Render state,submission.member.state,-
Dashboard,Submissions Table - Row,Stat,Docs warning,Missing docs indicator,Render warning chip if docs incomplete,submission.docsComplete,-
Dashboard,Submissions Table - Row,Text,[Type],Submission type,Render type,submission.type,-
Dashboard,Submissions Table - Row,Avatar,[Initials],Assignee avatar,Render assignee initials,submission.assignee.initials,-
Dashboard,Submissions Table - Row,Text,[Assignee First Name],Assignee name,Render assignee first name,submission.assignee.firstName,-
Dashboard,Submissions Table - Row,Text,[Premium Amount],Currency amount,Render formatted currency,submission.premium,-
Dashboard,Submissions Table - Row,Stat,[Status],Status chip/badge,Render status with color,submission.status,-
Dashboard,Submissions Table - Row,Stat,[Priority],Priority chip/badge,Render priority chip,submission.priority,-
Dashboard,Submissions Table - Row,Text,[Effective Date],Date,Render effective date,submission.effectiveDate,-
Dashboard,Submissions Table - Row,Icon Button,Open submission,Eye icon action,Navigate to submission detail,User click,Route: /submissions/{id}
Dashboard,Submissions Table - Row,Icon Button,Reassign,User plus icon action,Open reassign popover,User click,Modal/popover state
Dashboard,Submissions Table - Row,Icon Button,Add note,Message square icon action,Open quick-note composer,User click,Modal state -> POST /api/notes
Dashboard,Submissions Table - Row,Icon Button,More actions,Horizontal ellipsis action,Open contextual menu,User click,Menu open state
Dashboard,Submissions Pagination,Text,[Start]-[End] of [Total],Pagination info,Render page info,?page URL param + total,-
Dashboard,Submissions Pagination,Button,Prev,Previous page button,Navigate to previous page,?page URL param,Sets ?page=<prev>
Dashboard,Submissions Pagination,Button,[Page Number],Pagination number button,Jump to specific page,User click,Sets ?page=<n>
Dashboard,Submissions Pagination,Button,Next,Next page button,Navigate to next page,?page URL param,Sets ?page=<next>
Dashboard,Portfolio Snapshot,Section Header,Portfolio Snapshot,Card title,Render card title,Static text,-
Dashboard,Portfolio Snapshot,KPI Card,Total Submissions (MTD),Stat with icon,Count submissions this month,GET /api/metrics/submissions?period=mtd,-
Dashboard,Portfolio Snapshot,KPI Card,Quoted Pipeline,Stat with icon,Sum of quoted premium; click filters Submissions table,GET /api/metrics/quoted-pipeline,Sets ?status=Quoted on Submissions table
Dashboard,Portfolio Snapshot,KPI Card,Bound YTD,Stat with icon,Sum of bound premium YTD,GET /api/metrics/bound-premium?period=ytd,-
Dashboard,Portfolio Snapshot,KPI Card,Avg. Appetite Score,Stat with icon,Average appetite score,GET /api/metrics/avg-appetite,-
Dashboard,Portfolio Snapshot,KPI Card,Submissions in SLA,Stat with icon,Count submissions within SLA,GET /api/metrics/sla-compliance,-
Dashboard,Portfolio Snapshot,KPI Card,Docs Incomplete,Stat with icon,Count submissions with missing docs,GET /api/metrics/docs-incomplete,-
Dashboard,Team Performance,Section Header,Team Performance,Card title (team leads+),Render card title; role-gated,user.role + static text,-
Dashboard,Team Performance,Column,Underwriter,Table header,Render column header,Static text,-
Dashboard,Team Performance,Column,In Review,Table header,Render column header,Static text,-
Dashboard,Team Performance,Column,Quoted,Table header,Render column header,Static text,-
Dashboard,Team Performance,Column,Bound,Table header,Render column header,Static text,-
Dashboard,Team Performance,Column,Hit Ratio,Table header,Render column header,Static text,-
Dashboard,Team Performance,Column,Days to Quote,Table header,Render column header,Static text,-
Dashboard,Team Performance,Team Row,[Member Name] [Role],Team member row,Render UW performance row,GET /api/metrics/team-performance,-
CompanionPanel,Header,Text,Live - agentic,Status indicator,Render agent status,Companion socket status,-
CompanionPanel,Header,Icon Button,Reset thread,Rotates companion,Reset conversation thread,User click + thread state,Clear thread state
CompanionPanel,Header,Icon Button,Collapse,Collapses panel,Toggle panel collapsed state,User click,UI state: companionCollapsed
CompanionPanel,Identity,Avatar,Companion,Agent avatar with status,Render agent avatar,Static asset + status,-
CompanionPanel,Identity,Text,Companion,Agent name,Render agent name,Static text,-
CompanionPanel,Identity,Text,[Page Title] - [Subtitle],Current page context,Render context from active page,PageRegister context,-
CompanionPanel,Messages,Message,[User Text],User message bubble,Render user message,thread.messages[i] where role=user,-
CompanionPanel,Messages,Message,[Agent Text],Agent response bubble,Render agent message,thread.messages[i] where role=agent,-
CompanionPanel,Messages,Message,[Navigation Suggestion],Navigate button with CTA,Render suggestion with navigate action,agent message with navigation payload,Route: <suggested-path>
CompanionPanel,Messages,Suggestion,[Follow-up Chip],Suggested follow-up prompt,Render follow-up prompt,agent.followUps,Composer input on click
CompanionPanel,Messages,Viz Card,[Chart Title],Visualization container,Render embedded chart from agent,agent.visualizations,-
CompanionPanel,Composer,Field,[Placeholder Text],Chat input textarea,Capture user message,User entry,Form state: draft message
CompanionPanel,Composer,Icon Button,Add Attachment,Plus icon button,Open file picker,User click,File picker state
CompanionPanel,Composer,Button,Send,Send message button,Send message to companion,Form state + page context,POST /api/companion/chat
CompanionPanel,Composer,Text,Watching this page...,Status indicator text,Render watching context,Current route + PageRegister,-
PinnedDashboard,Header,Icon,Sparkles,Section icon,Render section icon,Static asset,-
PinnedDashboard,Header,Section Header,Pinned by you,Section title,Render section title,Static text,-
PinnedDashboard,Header,Stat,[Count],Pinned items count,Render pinned items count,pinnedItems.length,-
PinnedDashboard,Header,Text,Charts you saved...,Descriptive text,Render description,Static text,-
PinnedDashboard,Card,Text,[Chart Type],Chart type label,Render chart type,pinnedItem.type,-
PinnedDashboard,Card,Link,Source,Link to source page,Navigate to source page,pinnedItem.sourceUrl,Route: <source>
PinnedDashboard,Card,Section Header,[Chart Title],Chart title,Render chart title,pinnedItem.title,-
PinnedDashboard,Card,Text,[Chart Intro/Source],Chart description,Render description,pinnedItem.description,-
PinnedDashboard,Card,Visualization,[Mini Chart],Rendered visualization,Render chart visualization,pinnedItem.data,-
PinnedDashboard,Card,Icon Button,Remove from dashboard,X icon button,Unpin chart,User click + pinnedItem.id,DELETE /api/pinned/{id}
Portfolio,Hero,Section Header,Portfolio Analytics,Executive view title,Render page title,Static text,-
Portfolio,KPI Strip,KPI Card,Total TIV,Shows $1.43B with account count,Aggregate Total Insured Value across portfolio,GET /api/portfolio/tiv,-
Portfolio,KPI Strip,KPI Card,Written Premium YTD,Shows $8.3M with growth indicator,Sum written premium YTD,GET /api/portfolio/written-premium?period=ytd,-
Portfolio,KPI Strip,KPI Card,Earned Premium YTD,Shows $7.1M with earned ratio,Sum earned premium YTD,GET /api/portfolio/earned-premium?period=ytd,-
Portfolio,KPI Strip,KPI Card,Portfolio Hit Ratio,Shows 69% with trend,Compute hit ratio across portfolio,GET /api/portfolio/hit-ratio,-
Portfolio,KPI Strip,KPI Card,Avg. Loss Ratio,Shows 54% within target,Compute weighted average loss ratio,GET /api/portfolio/avg-loss-ratio,-
Portfolio,KPI Strip,KPI Card,At-Risk Accounts,"Accounts loss ratio > 70%, clickable filter",Count and filter accounts with loss ratio > 70%,GET /api/portfolio/at-risk-count,Sets ?atRisk=true on distribution table
Portfolio,Premium Trend,Section Header,Premium Trend - Written vs. Earned vs. Target,Chart title with icon,Render chart title,Static text,-
Portfolio,Premium Trend,Legend Item,Written,Blue bar legend label ($M),Render legend swatch,Static label + color,-
Portfolio,Premium Trend,Legend Item,Earned,Teal bar legend label ($M),Render legend swatch,Static label + color,-
Portfolio,Premium Trend,Legend Item,Target,Gold bar legend label ($M),Render legend swatch,Static label + color,-
Portfolio,Product Mix,Section Header,Product Mix (Premium),Chart title with icon,Render chart title,Static text,-
Portfolio,Product Mix,Legend Item,General Liability,Shows 28% with dot,Render product slice with %,GET /api/portfolio/product-mix,-
Portfolio,Product Mix,Legend Item,Property,Shows 35% with dot,Render product slice with %,GET /api/portfolio/product-mix,-
Portfolio,Product Mix,Legend Item,Educators Legal Liability,Shows 18% with dot,Render product slice with %,GET /api/portfolio/product-mix,-
Portfolio,Product Mix,Legend Item,Student Accident,Shows 11% with dot,Render product slice with %,GET /api/portfolio/product-mix,-
Portfolio,Product Mix,Legend Item,Cyber / Tech,Shows 8% with dot,Render product slice with %,GET /api/portfolio/product-mix,-
Portfolio,Exposure & Premium Distribution,Tab,By Segment,Toggle button for segment view,Switch distribution view to segment,?distView URL param,Sets ?distView=segment
Portfolio,Exposure & Premium Distribution,Tab,By Geography,Toggle button for geography view,Switch distribution view to geography,?distView URL param,Sets ?distView=geography
Portfolio,Exposure & Premium Distribution,Filter Chip,At-Risk only,"Clear filter button, shows when at-risk filter active",Clear at-risk filter,?atRisk URL param,Clears ?atRisk
Portfolio,Exposure & Premium Distribution,Column,Segment,Table column header (or State in geography mode),Render column header (varies by view),Static text + ?distView,-
Portfolio,Exposure & Premium Distribution,Column,Accounts,Table column showing account count,Render cell value,row.accountCount,-
Portfolio,Exposure & Premium Distribution,Column,TIV ($M),Table column showing total insured value,Render TIV with formatting,row.tiv,-
Portfolio,Exposure & Premium Distribution,Column,Written Prem. ($M),Table column showing written premium,Render written premium with formatting,row.writtenPremium,-
Portfolio,Exposure & Premium Distribution,Column,Loss Ratio,Table column with bar chart and percentage,Render loss ratio bar,row.lossRatio,-
Portfolio,Exposure & Premium Distribution,Column,Trend,Table column showing at-risk badge when applicable,Render trend indicator and at-risk badge,row.atRisk + row.trend,-
Portfolio,Appetite Tracking,Section Header,Appetite Tracking - Progress Toward Strategic Targets,Title with icon,Render section title,Static text,-
Portfolio,Appetite Tracking,Progress Indicator,K-12 Public Education,Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Appetite Tracking,Progress Indicator,Higher Education,Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Appetite Tracking,Progress Indicator,Charter Schools,Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Appetite Tracking,Progress Indicator,Private / Independent,Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Appetite Tracking,Progress Indicator,California (Geo. Limit),Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Appetite Tracking,Progress Indicator,Property TIV > $400M,Shows current vs target with status badge,Render progress bar vs target,GET /api/appetite/targets,-
Portfolio,Accumulation Risk,Section Header,Accumulation Risk,Title with icon,Render section title,Static text,-
Portfolio,Accumulation Risk,Stat,Max Single State TIV,Shows $490M CA with risk indicator,Compute max TIV in one state,GET /api/portfolio/accumulation,-
Portfolio,Accumulation Risk,Stat,Max Single Account TIV,Shows $412M K-12 with risk indicator,Compute max TIV for one account,GET /api/portfolio/accumulation,-
Portfolio,Accumulation Risk,Stat,Cat Zone 3 (Earthquake),Shows $220M CA/WA with watch status,Compute Cat Zone 3 aggregate exposure,GET /api/portfolio/accumulation,-
Portfolio,Accumulation Risk,Stat,Coastal Exposure (Wind),Shows $198M FL with ok status,Compute coastal exposure aggregate,GET /api/portfolio/accumulation,-
Portfolio,Accumulation Risk,Stat,Named Perils Aggregation,Shows $908M All with critical status,Compute named perils aggregate,GET /api/portfolio/accumulation,-
Activity,Hero,Section Header,Activity,Workbench-wide audit feed title,Render page title,Static text,-
Activity,Hero,Button,Export Feed,Download activity feed,Export activity events as CSV/JSON,Current URL filter params,GET /api/activity/export -> file download
Activity,KPI Strip,KPI Card,Events Today,Shows count with icon,Count events today,GET /api/activity/metrics?period=today,-
Activity,KPI Strip,KPI Card,My Actions,Shows user actions count for today,Count user actions today,GET /api/activity/metrics?actor=me&period=today,-
Activity,KPI Strip,KPI Card,Bound,Shows policy bind count for week,Count bind events this week,GET /api/activity/metrics?type=bound&period=7d,-
Activity,KPI Strip,KPI Card,Approvals,Shows approval decisions count,Count approval decisions,GET /api/activity/metrics?type=approval,-
Activity,KPI Strip,KPI Card,Docs Uploaded,Shows document upload count for 7 days,Count document uploads in 7d,GET /api/activity/metrics?type=doc_upload&period=7d,-
Activity,KPI Strip,KPI Card,Events (7d),Shows total volume for week,Count all events in 7d,GET /api/activity/metrics?period=7d,-
Activity,Activity Timeline,Tab,All Activity,Shows all events,Set scope filter to all,?scope URL param,Sets ?scope=all
Activity,Activity Timeline,Tab,My Activity,Filters to user actions,Set scope filter to mine,?scope URL param,Sets ?scope=mine
Activity,Activity Timeline,Tab,Team,Filters to team actions,Set scope filter to team,?scope URL param,Sets ?scope=team
Activity,Activity Timeline,Tab,Submissions,Filters to submission-related actions,Set scope filter to submissions,?scope URL param,Sets ?scope=submissions
Activity,Activity Timeline,Dropdown,Activity Type Filter,"Dropdown to filter by event type (All, Submission Created, etc.)",Filter events by type,?eventType URL param,Sets ?eventType=<value>
Activity,Activity Timeline,Badge,Event Count,Shows total count of filtered events,Render filtered count,events.length,-
Activity,Activity Timeline,Badge,Milestone Count,Shows number of milestone events in time bucket,Count milestone events per bucket,events grouped,-
Activity,Activity Timeline,Badge,Operational Count,Shows number of operational events in time bucket,Count operational events per bucket,events grouped,-
Activity,Activity Timeline,Section Header,Today,Time period section header,Render time bucket label,Date grouping,-
Activity,Activity Timeline,Section Header,Yesterday,Time period section header,Render time bucket label,Date grouping,-
Activity,Activity Timeline,Section Header,Earlier this week,Time period section header,Render time bucket label,Date grouping,-
Activity,Activity Timeline,Section Header,Earlier,Time period section header,Render time bucket label,Date grouping,-
Activity,Activity Timeline,Event Card,Submission Created,"Milestone event with actor, target, timestamp",Render milestone event,event of type submission_created,Route: /submissions/{subId}
Activity,Activity Timeline,Event Card,Submission Edited,"Milestone event with actor, target, timestamp",Render milestone event,event of type submission_edited,Route: /submissions/{subId}
Activity,Activity Timeline,Event Card,Document Uploaded,"Operational event, can be clustered",Render operational event (clusterable),event of type doc_uploaded,Route: /submissions/{subId}?tab=documents
Activity,Activity Timeline,Event Card,Note Added,"Operational event, can be clustered",Render operational event,event of type note_added,Route: /submissions/{subId}?tab=notes
Activity,Activity Timeline,Event Card,Email Sent,"Operational event, can be clustered",Render operational event,event of type email_sent,Route: /submissions/{subId}?tab=correspondence
Activity,Activity Timeline,Event Card,Approval Decided,Milestone event with decision details,Render milestone event,event of type approval_decided,Route: /submissions/{subId}?tab=approvals
Activity,Activity Timeline,Event Card,Quote Issued,Milestone event with quote details,Render milestone event,event of type quote_issued,Route: /submissions/{subId}/quote
Activity,Activity Timeline,Event Card,Policy Bound,Milestone event with policy details,Render milestone event,event of type policy_bound,Route: /submissions/{subId}
